"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"4",29,"2 entre -5% y 5%",0.369422506067148,-0.437824449421087,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"5",FALSE
"6",60,"2 entre -5% y 5%",1.84321897022614,2.57018481520619,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"3",FALSE
"7",103,"2 entre -5% y 5%",-0.159615919589453,4.26578896989236,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"11",132,"2 entre -5% y 5%",-0.313297031797248,0.828177710938834,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"8",FALSE
"12",138,"2 entre -5% y 5%",-0.460677245080641,1.45446458714182,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"10",FALSE
"14",206,"3 Mayor a 5%",-0.301371140072479,-0.540160931149213,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"15",263,"2 entre -5% y 5%",-0.867198932654903,-0.354291406944499,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"19",365,"3 Mayor a 5%",1.48890711267883,-0.660524959919309,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,0,1,0,"8",FALSE
"21",469,"2 entre -5% y 5%",-0.184209632553535,2.13431215201762,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"13",FALSE
"24",494,"2 entre -5% y 5%",1.65890733969189,-0.117882688613979,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"8",FALSE
"27",558,"2 entre -5% y 5%",1.40386298357863,1.46815308598458,0.137694153599676,-0.332635202303582,0,1,0,1,0,0,1,0,0,"13",FALSE
"29",610,"2 entre -5% y 5%",-0.456392727178458,1.54205887116757,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"31",642,"2 entre -5% y 5%",0.598942486171341,3.7993123837928,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"13",FALSE
"33",671,"2 entre -5% y 5%",-0.383880704570415,2.5627364841429,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"5",FALSE
"34",676,"2 entre -5% y 5%",0.628756381854597,2.3262612894458,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
